Posição,Município,População,Area,Density
0,Fortaleza,2669342,312.407,8544.43722451802
1,Caucaia,362400,1227.931,295.130589585245
2,Juazeiro do Norte,274207,248.832,1101.97643389918
3,Maracanaú,232895,106.648,2183.77278523742
4,Sobral,208935,2122.898,98.4197073999787
5,Crato,132123,1176.467,112.304892529922
6,Itapipoca,129358,1613.913,80.1517801765027
7,Maranguape,128978,590.873,218.283793640935
8,Iguatu,102498,1029.214,99.5886181105193
9,Quixadá,87728,2019.834,43.4332722392038
10,Pacatuba,83432,131.994,632.089337394124
11,Quixeramobim,81082,3275.625,24.7531387139859
12,Aquiraz,80271,480.997,166.884616743971
13,Russas,78194,1590.257,49.1706686403518
14,Canindé,76997,3218.481,23.9233974039306
15,Tianguá,75946,908.888,83.5592504246948
16,Crateús,75074,2985.152,25.1491381343396
17,Aracati,74547,1230.507,60.582345325951
18,Pacajus,72203,254.636,283.553778727281
19,Cascavel,71743,834.963,85.9235678706721
20,Icó,68018,1871.995,36.334498756674
21,Horizonte,67337,160.764,418.856211589659
22,Camocim,63661,1128.894,56.3923627904834
23,Acaraú,62641,845.468,74.0903263044846
24,Morada Nova,61890,2778.578,22.2739833108878
25,Viçosa do Ceará,60889,1311.628,46.422461246634
26,Barbalha,59732,569.508,104.883513488836
27,Limoeiro do Norte,59540,750.068,79.3794695947567
28,Tauá,58859,4018.162,14.6482396677884
29,Trairi,55918,929.023,60.1901137000914
30,Granja,54748,2663.032,20.5585212644835
31,Boa Viagem,54470,2836.783,19.2013277011319
32,Acopiara,54270,2265.349,23.9565735787289
33,Eusébio,53618,79.005,678.665907221062
34,Beberibe,53573,1620.344,33.0627323580672
35,Itapajé,52675,430.565,122.339251913184
36,Brejo Santo,49477,663.429,74.5776865346556
37,São Gonçalo do Amarante,48422,833.894,58.0673322988294
38,Mauriti,47962,1049.488,45.7003796136783
39,São Benedito,47903,338.21,141.636852842908
40,Mombaça,43797,2119.48,20.6640308000075
41,Santa Quitéria,43703,4260.479,10.2577667910111
42,Amontada,43452,1178.162,36.8811759333606
43,Pedra Branca,43258,1303.287,33.1914612821274
44,Ipu,41964,629.315,66.6820272836338
45,Itarema,41826,718.016,58.2521837953472
46,Várzea Alegre,40721,835.709,48.7262910893625
47,Guaraciaba do Norte,40642,611.464,66.4667094056232
48,Massapê,38737,566.581,68.3697476618524
49,Ipueiras,38166,1477.407,25.8330981239428
50,Itaitinga,37980,151.633,250.473181959072
51,Pentecoste,37751,1378.258,27.3903724846872
52,Missão Velha,36442,645.704,56.4376246701275
53,Baturité,35750,308.581,115.852887896533
54,Paracuru,35076,302.468,115.965986484521
55,Ubajara,34792,421.033,82.6348528500141
56,Jaguaribe,34682,1876.806,18.479267436272
57,Jaguaruana,33705,867.563,38.85020453846
58,Paraipaba,32744,301.148,108.730590938675
59,Bela Cruz,32591,843.021,38.6597724137358
60,Nova Russas,32328,742.765,43.5238601711174
61,Santana do Acaraú,32452,969.326,33.4789327842233
62,Parambu,31521,2303.54,13.6837215763564
63,Lavras da Mangabeira,31508,947.968,33.237408857683
64,Tabuleiro do Norte,30697,861.828,35.6184760764329
65,Redenção,29053,225.821,128.654996656644
66,Novo Oriente,28607,949.393,30.1318842671054
67,Milagres,27512,605.193,45.4598780884776
68,Campos Sales,27426,1082.769,25.3295024146425
69,Jardim,27174,552.424,49.1904768800776
70,Marco,27361,574.138,47.6557900713766
71,Caririaçu,26965,623.564,43.2433559345953
72,Senador Pompeu,25496,1002.131,25.4417835592353
73,Aracoiaba,26469,656.597,40.3123986250318
74,Guaiúba,26064,267.128,97.5712018208499
75,Independência,26171,3218.678,8.1309779977991
76,Tamboril,26251,1961.31,13.3844216365592
77,Ocara,25703,765.412,33.5806075682116
78,Cedro,25557,725.798,35.2122766940664
79,Ibiapina,24997,414.938,60.2427350592137
80,Jucás,24833,937.189,26.4973233787422
81,Aurora,24654,885.836,27.8313367259854
82,Cruz,24827,330.201,75.1875372878943
83,Forquilha,24218,516.993,46.8439611368046
84,Irauçuba,24156,1461.253,16.5310182425631
85,Assaré,23417,1116.331,20.976753310622
86,Coreaú,23136,775.796,29.8222728655471
87,Barro,22680,711.887,31.8589888563775
88,Caridade,22547,846.505,26.6354008541001
89,Morrinhos,22534,415.556,54.2261452126789
90,Barreira,22425,245.805,91.2308537255141
91,Quixeré,22149,613.576,36.0982176617078
92,Uruburetama,21850,97.072,225.090654359651
93,Itatira,21647,783.436,27.6308466805202
94,Araripe,21600,1099.933,19.6375597422752
95,Orós,21427,576.27,37.1822236104604
96,Quiterianópolis,21084,1040.989,20.2538163227469
97,Catarina,20698,486.864,42.5128988793585
98,Pindoretama,20567,75.14,273.715730636146
99,Itapiúna,20382,588.699,34.6221073927423
100,Chorozinho,20264,278.413,72.7839576456559
101,Hidrolândia,19978,966.853,20.6629135969998
102,Icapuí,19934,423.539,47.0653233822623
103,Umirim,19825,316.724,62.5939303620818
104,Jijoca de Jericoacoara,19816,208.099,95.2239078515514
105,Madalena,19691,1034.722,19.0302322749492
106,Farias Brito,19450,503.622,38.620235017533
107,Tejuçuoca,19187,759.715,25.2555234528738
108,Cariús,18699,1061.803,17.6106113845977
109,Reriutaba,18491,383.319,48.2391950307707
110,Cariré,18448,756.875,24.3739058629232
111,Varjota,18420,179.397,102.677302296025
112,Solonópole,18324,1536.165,11.9284061282479
113,Banabuiú,18197,1080.329,16.8439429099839
114,Jaguaretama,18162,1759.401,10.3228314636629
115,Croatá,18063,696.984,25.9159464205778
116,Capistrano,17738,222.549,79.7037955686163
117,Santana do Cariri,17700,855.563,20.6881316746984
118,Carnaubal,17606,364.839,48.256902359671
119,Aiuaba,17399,2434.423,7.14707345436681
120,Monsenhor Tabosa,17234,886.137,19.4484600011059
121,Alto Santo,17146,1338.205,12.812685649807
122,Piquet Carneiro,16959,587.877,28.8478712383713
123,Salitre,16554,804.356,20.580439506885
124,Fortim,16480,277.973,59.2863335647707
125,Pereiro,16307,433.514,37.6158555433042
126,Tururu,16271,202.276,80.4395973817952
127,Quixelô,16178,559.561,28.9119506184312
128,Saboeiro,15819,1383.484,11.4341763258556
129,Nova Olinda,15565,284.401,54.7290621340994
130,Meruoca,15057,149.845,100.483833294404
131,Barroquinha,15017,384.9,39.015328656794
132,Porteiras,14996,217.58,68.9217758985201
133,Acarape,14929,155.169,96.2112277581218
134,Apuiarés,14600,545.15,26.7816197376869
135,Mucambo,14537,190.602,76.2688744084532
136,Graça,14399,281.872,51.0834705114378
137,Iracema,14297,821.247,17.4088916002128
138,Frecheirinha,14072,181.24,77.6429044361068
139,Uruoca,13840,696.754,19.8635386377401
140,Miraíma,13818,699.964,19.741015252213
141,Choró,13521,815.77,16.5745246822021
142,Ibaretama,13353,877.256,15.2213264999042
143,Palmácia,13322,117.813,113.077504180354
144,Milhã,13155,502.344,26.1872342458554
145,Chaval,13069,237.418,55.0463739059381
146,São Luís do Curu,13000,122.42,106.191798725698
147,Ibicuitinga,12525,424.915,29.4764835320005
148,Ipaumirim,12463,275.159,45.2938119414593
149,Poranga,12336,702.126,17.5694960733544
150,Pacoti,12261,112.021,109.452691905982
151,Paramoti,12226,482.592,25.3340295736357
152,Aratuba,11847,114.785,103.210349784379
153,Abaiara,11737,180.08,65.1765881830298
154,Alcântaras,11714,138.605,84.513545687385
155,Ipaporanga,11593,702.126,16.5112814509077
156,Jaguaribara,11401,668.738,17.048530216617
157,Martinópole,11233,298.962,37.5733370796288
158,Groaíras,11068,155.947,70.9728305129307
159,Potengi,11045,338.727,32.6073799844713
160,Pires Ferreira,10951,243.099,45.0474909399051
161,Ararendá,10935,344.131,31.7756900715135
162,Mulungu,10823,134.568,80.4277391356043
163,Catunda,10342,790.705,13.0794670578787
164,Deputado Irapuan Pinheiro,9625,470.425,20.4602221395547
165,Palhano,9386,440.381,21.3133627472575
166,Penaforte,9077,149.715,60.6285275356511
167,Tarrafas,8592,454.391,18.9088252188094
168,Moraújo,8724,415.633,20.9896711762541
169,Jati,8111,353.298,22.9579561729758
170,Arneiroz,7840,1066.362,7.35209994354638
171,Itaiçaba,7827,212.109,36.9008387197149
172,Umari,7733,263.93,29.299435456371
173,São João do Jaguaribe,7645,280.456,27.2591779102604
174,General Sampaio,7618,205.81,37.0147223166999
175,Senador Sá,7623,423.919,17.9822088653729
176,Altaneira,7586,73.295,103.499556586397
177,Antonina do Norte,7353,260.104,28.2694614461908
178,Ererê,7198,382.707,18.8081221404364
179,Pacujá,6533,76.128,85.8159941151745
180,Potiretama,6419,410.338,15.64320145831
181,Baixio,6228,146.433,42.5313966114196
182,Guaramiranga,5193,59.436,87.3712901271956
183,Granjeiro,4844,100.127,48.3785592297782
